Date,Close
06/05/1981,460.25
06/08/1981,460
06/09/1981,463
06/10/1981,463.25
06/11/1981,464.25
06/12/1981,467
06/15/1981,472.25
06/16/1981,466.75
06/17/1981,463.25
06/18/1981,460.25
06/19/1981,457.75
06/22/1981,462
06/23/1981,465
06/24/1981,462.25
06/25/1981,454.5
06/26/1981,443.75
06/29/1981,431.5
06/30/1981,421.5
07/01/1981,421.25
07/02/1981,410
07/03/1981,413.75
07/06/1981,403.5
07/07/1981,403.5
07/08/1981,400
07/09/1981,406
07/10/1981,415.25
07/13/1981,417.75
07/14/1981,403.25
07/15/1981,408
07/16/1981,417.25
07/17/1981,414.5
07/20/1981,414.75
07/21/1981,408
07/22/1981,409.25
07/23/1981,410.5
07/24/1981,407.5
07/27/1981,409.75
07/28/1981,403
07/30/1981,402.25
07/31/1981,405.25
08/03/1981,392.5
08/04/1981,391.75
08/05/1981,392.6
08/06/1981,395
08/07/1981,399
08/10/1981,393.2
08/11/1981,396.5
08/12/1981,408.5
08/13/1981,407.5
08/14/1981,411.5
08/17/1981,409.5
08/18/1981,422.5
08/19/1981,433.5
08/20/1981,430.5
08/21/1981,428.5
08/24/1981,428.5
08/25/1981,410.5
08/26/1981,413
08/27/1981,414.75
08/28/1981,425.5
09/01/1981,422.5
09/02/1981,431.5
09/03/1981,435.25
09/04/1981,440.25
09/07/1981,437.25
09/08/1981,434.25
09/09/1981,436.25
09/10/1981,448
09/11/1981,447.75
09/14/1981,456
09/15/1981,455.25
09/16/1981,449.75
09/17/1981,456
09/18/1981,446.75
09/21/1981,459.25
09/22/1981,460.25
09/23/1981,458
09/24/1981,450.5
09/25/1981,451.75
09/28/1981,427.5
09/29/1981,432.5
09/30/1981,426.5
10/01/1981,435.25
10/02/1981,433.25
10/05/1981,440.75
10/06/1981,434.95
10/07/1981,445
10/08/1981,441.75
10/09/1981,452.25
10/12/1981,451.6
10/13/1981,443.9
10/14/1981,445.25
10/15/1981,446.85
10/16/1981,441.25
10/19/1981,440.75
10/20/1981,437.2
10/21/1981,433.3
10/22/1981,434.6
10/23/1981,433.5
10/26/1981,428
10/27/1981,426.8
10/28/1981,431.5
10/29/1981,422.25
10/30/1981,429
11/02/1981,431
11/03/1981,427.75
11/04/1981,431
11/05/1981,428.9
11/06/1981,427.75
11/09/1981,430.1
11/10/1981,422.75
11/11/1981,412.75
11/12/1981,412.25
11/13/1981,414
11/16/1981,408.25
11/17/1981,395.75
11/18/1981,400.75
11/19/1981,401
11/20/1981,401
11/23/1981,396
11/24/1981,398
11/25/1981,406
11/26/1981,409.75
11/27/1981,411.25
11/30/1981,415.5
12/01/1981,405
12/02/1981,405.25
12/03/1981,419
12/04/1981,423.5
